,for_summing_by_experiments,RefID,PDF_retrieved,Reviewer,Approach_goal,Continent,Country_Province,Climate,study_location,Water_body,Primary_Threat_Identity,Salt_Iontype_Conductivity,State_Region,Physiographic_region,paper_focal_taxa,Taxonomic_classification,Specific_taxa,Level_ecological_organization,specific_response_metric,X20,Broader_response_categories,direction_effect,mean_control,mean_treatment,Life_stage,Units_response,background_concentration,Minimum_concentration_original,Maximum_concentration_original,Units_salt_concentration_original,Acute_Chronic,Duration_exposure,stats_direction_effect,Statistical_Analysis,mean_control_1,mean_treatment_1,Beta_estimate,standard_deviation,lower_CI,upper_CI,standard_error_beta,Correlation_Regression,p_values,Raw_values_response,Rate of change in salt (if applicaple),"Timing of exposure (e.g., season (winter, summer...), continuous)",Frequency_of_exposure,number_treatments_categories,number_replicates,number_per_replicate,Temperature,Notes on effect,Take home point,Author,Year,Paper Title,Journal,Extra notes,DataID,Measurement,SaltUnits,Min_Conductivity_uScm,Max_Conductivity_uScm,Min_Concentration_ppm,Max_Concentration_ppm
4,1,70,yes,Abigail,"to test the hypotheses that (a) that only a portion of the antenna1 gland Na,K-ATPase powers renal salt reabsorption and, thus, the production of dilute urine in P. cfarkii, and (b) that P. cfarkii may maintain high “basal” levels of antenna1 gland Na,K-ATPase to power other, non-osmoregulatory transport functions such as organic acid secretion into the urine and sugar and amino acid reabsorption from it.",North Amercia,United States,temperate,Lab,aquaria,osmoregulation,potassium,PA,NA,Crustacean,Crustacean,Procambaru clarkii,individual,Na/K-ATPase activity antennal gland in relation to potasium,enzymatic,Solute uptake/internal chemistry,who knows (positive),0,44,adult,umolesPi/(mg*h_,NA,0,50,mM,chronic,14,positive,not given,0,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,constant,10,not given,not given,20-25,NA,"long term changes in salt reabsorption from the urine are associ- ated with reduction of antenna1 gland ESA, probably by enzyme degradation. However, be- causehaemolymph and urine osmotic pressures rapidly increased, and came to a new steady state 2-3 days after transfer, it is equally clear that rapid modulation of salt transport by exist- ing enzyme in both antenna1 gland and gills must also occur.",Sarver,1994,"Renal Na,K-ATPase and osmoregulation in the crayfish, Procambarus clarkii",NA,NA,613,K+,mmol/L,NA,NA,0,1954.5
99,1,495,yes,Abigail,The object of the work reported in this paper was to see to what extent sodium influx in the crayfish was influenced by the cation composition of the external solution.,Europe,United Kingdom,temperate,Lab,aquaria,mechanistic,Potassium,Tyne,NA,Crustacean,Crustacean,Astacus pallipes,invdividual,% influx of sodium,osmoregulation,Solute uptake/internal chemistry,humped,100,80,adult,% normal influx of sodium,0,1,4,mM/l,chronic,4,humped,ANOVA,100,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"In this case cations are generally taken up according to the lyotropic series; the sodium-transporting system has little affinity for calcium and magnesium, and. further, readily distinguishes between sodium and potassium.",Shaw,1960,THE ABSORPTION OF SODIUM IONS BY THE CRAYFISH ASTACUS PALLIPES LEREBOULLET III. THE EFFECT OF OTHER CATIONS IN THE EXTERNAL SOLUTION,NA,NA,4944,K+,mmol/L,NA,NA,39.09,156.36
2,1,65,Yes,Jo/Rich,study the role of various K+ concentrations on radiocaesium accumulation,Europe,Portugal,temperate,Lab,aquaria,mechanistic,potassium,Sacavem,NA,fish,Fish,Chondrostoma polylepis polylepis,population,134 Cs retention activity,body fluid diagnostics,Solute uptake/internal chemistry,who knows (negative),143,18,juvenile,Bq g-1,not provided,0.35,35,mg/L,chronic,35,negative,NA,143,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,continuous,constant,3,not provided,not provided,12,external K+ influences the elimination of radiocaesium contamination from the body,Radiocaesium excretion increases with K+ concentrations,"M. C. V. Carreiro, J. A. G. Corisco and P. Austrian Assoc Radiat",1996,Role of different potassium concentrations on accumulation and excretion of radiocaesium in a freshwater fish,World Journal of Fish and Marine Sciences,NA,570,K+,mg/L,NA,NA,0.35,35
3,1,65,Yes,Jo/Rich,study the role of various K+ concentrations on radiocaesium accumulation,Europe,Portugal,temperate,Lab,aquaria,mechanistic,potassium,Sacavem,NA,fish,Fish,Chondrostoma polylepis polylepis,population,134 Cs uptake (concentration factor),body fluid diagnostics,Solute uptake/internal chemistry,who knows (negative),313,28,juvenile,Bq g-1 (fish)/ Bq ml-1 (water),not provided,0.35,35,mg/L,chronic,35,negative,NA,313,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,continuous,constant,3,not provided,not provided,12,"the higher the K+ concentrations, the lower the radioactive contamination for fishes","in low K+ water bodies, increase in K+ concentration might increase radiocaesium excretion","M. C. V. Carreiro, J. A. G. Corisco and P. Austrian Assoc Radiat",1996,Role of different potassium concentrations on accumulation and excretion of radiocaesium in a freshwater fish,World Journal of Fish and Marine Sciences,NA,571,K+,mg/L,NA,NA,0.35,35
5,1,84,Yes,Joshua,Lab study assessing the effects of water chemistry on copper sulfate toxicity,North Amercia,United States,temperate,Lab,aquaria,tolerance,KCl,Minnesota,Great Lakes,Fish,Fish,Pimephales promelas,Population,LC50,toxicological,Effect concentration,NA,1.18,0.27,Larval,Total Copper Concentration uM,"0.065 meq/L sodium, 0.015 meq/L potassium, 0.85 meq/L alkalinity, 0.035 meq/L chloride, and 0.070 meq/L sulfate",0,4,mN,chronic,4,None,None,1.18,0.27,NA,NA,NA,NA,not given,NA,NA,"Control: 0.98, 1.08, 1.48; 2mN: 0.34; 3 mN: 0.67; 4 mN: 0.27",NA,NA,constant,8,2,10,22,None,adding salts increases survival when fish are exposed to copper sulfate,Erickson et al.,1996,The effects of water chemistry on the toxicity of copper to fathead minnows,Environmental Toxicology and Chemistry,NA,682,KCl,mN,NA,NA,NA,NA
8,1,116,yes,Joshua,Study examining the effects of salt on the growth of channel catfish,North Amercia,United States,temperate,Lab,pond,aquaculture,KCl,Illinois,Not given,Fish,Fish,Ictalurus punctatus,Population,mortality,survival,Mortality/Survival,positive,50,0,juvenile,%,NA,0,0.17,%,chronic,37,negative,none,50,0,NA,NA,NA,NA,Not given,NA,NA,0%: 50; 0.17%: 0,NA,NA,constant,1,3,4,24-31,experiments with the same concentration were averaged; dropped experiments 1 and 4 due to being different than others,low concentrations of salt improved growth and survival,Sued Lewis,1972,Effect of selected concentrations of sodium chloride on the growth of channel catfish,Proceedings of the Southeastern Association of Game and Fish Commissioners,NA,938,KCl,%,NA,NA,0,1700
9,1,184,Yes,Rich,effect of potasium bicarbonate on sodium uptake rate,Europe,France,temperate,Lab,aquaria,mechanistic,potassium bicarbonate,Saclay,NA,fish,Fish,Carassius auratus,individual,sodium uptake,osmoregulation,Solute uptake/internal chemistry,who knows (negative),10.7,5,Adult,uEq/hr,400 (NaCl),16,40,uEq/L,chronic,365,negative,not specified (t-test?),10.7,5,NA,"6.8, 8.6",NA,NA,NA,NA,not provided,NA,NA,continuous,constant,2,1,4,18 - 23,increased ammonium suflate had a negative effect of sodium uptake rate,negative,J. Maetz and F. G. Romeu,1964,MECHANISM OF SODIUM + CHLORIDE UPTAKE BY GILLS OF FRESH-WATER FISH CARASSIUS AURATUS .2. EVIDENCE FOR NHPLUS4/NAPLUS + HCOMINUS3/CLMINUS EXCHANGES,Journal of General Physiology,NA,1369,KHCO3,uEq/L,NA,NA,1.60184,4.0046
48,1,333,Yes,Carl,Evaluate how a saline solution's major-ion composition influences its toxicity to common ecotox test species,North Amercia,United States,temperate,Lab,beaker,multiple: anthropogenic,potassium,Colorado,NA,mixed,Fish,Pimephales promelas,population,survival,survival,Mortality/Survival,negative,NA,NA,juvenile,percent,~220 mg/L TDS (EPA moderately hard reconstituted water),220,10000,mg/L,Acute,2,negative,regression,NA,NA,-0.00987,NA,not transcribed,not transcribed,NA,NA,NA,NA,NA,NA,steady,not stated (varies by salt),2,5,25,"Relative toxicities for this species: K>HCO3=~Mg>Cl>SO4. Na and Ca were not significant, suggesting that toxicity of Na and Ca salts was primarily attributable to the corresponding anion. Comparative salt sensitivity of three species: C. dubia>D. magna>P.promelas",Salt toxicity concentration varies with major-ion composition of the salt,Mount et al,1997,"Statistical models to predict the toxicity of major ions to Ceriodaphnia dubia, Daphnia magna and Pimephales promelas (fathead minnows).",Environ Toxicol Chem,"This is a classic study, widely cited due to thorough documentation of individual ion effects. Corresponding LC50s also generated for two crustaceans, Daphnia Magna and Ceriodaphnia Dubia",3008,K+,mg/L,NA,NA,220,10000
51,1,333,Yes,Carl,Evaluate how a saline solution's major-ion composition influences its toxicity to common ecotox test species,North Amercia,United States,temperate,Lab,beaker,multiple: anthropogenic,KCl,Colorado,NA,mixed,Fish,Pimephales promelas,population,24-h LC50,toxicological,Effect concentration,NA,NA,NA,juvenile,mg KCl /L,~220 mg/L TDS (EPA moderately hard reconstituted water),220,10000,mg/L,Acute,1,NA,Spearman-Karber,NA,NA,NA,NA,750 (min value),1090 (max value),NA,NA,NA,950 mg KCl /L,NA,NA,steady,not stated (varies by salt),3,5,25,"Relative toxicities for this species: K>HCO3=~Mg>Cl>SO4. Na and Ca were not significant, suggesting that toxicity of Na and Ca salts was primarily attributable to the corresponding anion.",Salt toxicity concentration varies with major-ion composition of the salt,Mount et al,1997,"Statistical models to predict the toxicity of major ions to Ceriodaphnia dubia, Daphnia magna and Pimephales promelas (fathead minnows).",Environ Toxicol Chem,"This is a classic study, widely cited due to thorough documentation of individual ion effects. Corresponding LC50s also generated for two crustaceans, Daphnia Magna and Ceriodaphnia Dubia",3026,KCl,mg/L,NA,NA,220,10000
52,1,333,Yes,Carl,Evaluate how a saline solution's major-ion composition influences its toxicity to common ecotox test species,North Amercia,United States,temperate,Lab,beaker,multiple: anthropogenic,K2SO4,Colorado,NA,mixed,Fish,Pimephales promelas,population,24-h LC50,toxicological,Effect concentration,NA,NA,NA,juvenile,mg K2SO4 /L,~220 mg/L TDS (EPA moderately hard reconstituted water),220,10000,mg/L,Acute,1,NA,Spearman-Karber,NA,NA,NA,NA,770 (min value),1170 (max value),NA,NA,NA,990 mg K2SO4 /L,NA,NA,steady,not stated (varies by salt),4,5,25,"Relative toxicities for this species: K>HCO3=~Mg>Cl>SO4. Na and Ca were not significant, suggesting that toxicity of Na and Ca salts was primarily attributable to the corresponding anion.",Salt toxicity concentration varies with major-ion composition of the salt,Mount et al,1997,"Statistical models to predict the toxicity of major ions to Ceriodaphnia dubia, Daphnia magna and Pimephales promelas (fathead minnows).",Environ Toxicol Chem,"This is a classic study, widely cited due to thorough documentation of individual ion effects. Corresponding LC50s also generated for two crustaceans, Daphnia Magna and Ceriodaphnia Dubia",3027,K2SO4,mg/L,NA,NA,220,10000
