"","DataID","RefID","Reviewer","Focal: Salt/Ion type (if known) OR Conductivity","Measurement","Units for salt concentration_original","SaltUnits","Minimum concentration_original","Maximum concentration_original","Rate of change in salt (if applicaple)","Temperature (C)","TempSingleValue/Min","TempMax","TempPlusMinus","MeasurementNotes","TempNotes","min.cond.corr.uScm","max.cond.corr.uScm"
"1",2029,114,"Joshua","Salinity","Salinity","micro-mhos","µmho/cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",3962,446,"Jo","Conductivity","Conductivity","umho/cm","µmho/cm",29,302,NA,"18.6-19.2","18.6","19.2",NA,NA,NA,29,302
"3",3963,446,"Jo","Conductivity","Conductivity","umho/cm","µmho/cm",29,302,NA,"18.6-19.2","18.6","19.2",NA,NA,NA,29,302
"4",3964,446,"Jo","Conductivity","Conductivity","umho/cm","µmho/cm",29,302,NA,"18.6-19.2","18.6","19.2",NA,NA,NA,29,302
"5",3965,446,"Jo","Conductivity","Conductivity","umho/cm","µmho/cm",29,302,NA,"18.6-19.2","18.6","19.2",NA,NA,NA,29,302
"6",3966,43,"Joshua","Conductivity","Conductivity","umho/cm","µmho/cm",169,230,NA,"18.18-20.16","18.18","20.16",NA,NA,NA,169,230
"7",3967,470,"Sally","conductivity","Conductivity","umho/cm","µmho/cm",25,1670,NA,NA,NA,NA,NA,NA,NA,25,1670
"8",3968,470,"Sally","conductivity","Conductivity","umho/cm","µmho/cm",25,1670,NA,NA,NA,NA,NA,NA,NA,25,1670
"9",3969,97,"Joshua","Conductivity","Conductivity","umhos","µmho/cm",594,637,NA,"21.6-22.7","21.6","22.7",NA,NA,NA,594,637
"10",3970,97,"Joshua","Conductivity","Conductivity","umhos","µmho/cm",594,637,NA,"21.6-22.7","21.6","22.7",NA,NA,NA,594,637
"11",3971,233,"Jo","Conductivity","Conductivity","umhos/cm","µmho/cm",95,284,NA,"-9.8",NA,"9.8",NA,NA,NA,95,284
"12",3972,233,"Jo","Conductivity","Conductivity","umhos/cm","µmho/cm",95,284,NA,"-9.8",NA,"9.8",NA,NA,NA,95,284
"13",3973,233,"Jo","Conductivity","Conductivity","umhos/cm","µmho/cm",95,284,NA,"-9.8",NA,"9.8",NA,NA,NA,95,284
"14",3974,233,"Jo","Conductivity","Conductivity","umhos/cm","µmho/cm",95,284,NA,"-9.8",NA,"9.8",NA,NA,NA,95,284
