DataID,RefID,Reviewer,Salt_Iontype_Conductivity,Measurement,Units_salt_concentration_original,SaltUnits,Minimum_concentration_original,Maximum_concentration_original,Rate of change in salt (if applicaple),Temperature,TempSingleValue/Min,TempMax,TempPlusMinus,MeasurementNotes,TempNotes,Minimum_concentration_original_num,Maximum_concentration_original_num,Min_Conductivity_uScm,Max_Conductivity_uScm,Min_Concentration_ppm,Max_Concentration_ppm,Min_salinity_psu,Max_salinity_psu,Min_salinity_ppm,Max_salinity_ppm
1,1,Rich,Specific Conductance,Specific Conductance,uS/cm,µS/cm,71.9,152,NA,31.1 -31.28,31.1,31.28,NA,NA,NA,71.9,152,71.9,152,NA,NA,NA,NA,NA,NA
2,1,Rich,Specific Conductance,Specific Conductance,uS/cm,µS/cm,71.9,152,NA,31.1 -31.28,31.1,31.28,NA,NA,NA,71.9,152,71.9,152,NA,NA,NA,NA,NA,NA
3,1,Rich,Specific Conductance,Specific Conductance,uS/cm,µS/cm,71.9,152,NA,31.1 -31.28,31.1,31.28,NA,NA,NA,71.9,152,71.9,152,NA,NA,NA,NA,NA,NA
4,1,Rich,Specific Conductance,Specific Conductance,uS/cm,µS/cm,71.9,152,NA,31.1 -31.28,31.1,31.28,NA,NA,NA,71.9,152,71.9,152,NA,NA,NA,NA,NA,NA
5,2,Rich,CaCO3,CaCO3,mg/L,mg/L,2,120,NA,"25,2","25,2",NA,NA,NA,NA,2,120,NA,NA,2,120,NA,NA,NA,NA
6,2,Rich,CaCO3,CaCO3,mg/L,mg/L,2,120,NA,25.2,25.2,NA,NA,NA,NA,2,120,NA,NA,2,120,NA,NA,NA,NA
7,3,Amber,calcium,Ca2+,mg/L,mg/L,0,80,NA,16 C,16,NA,NA,NA,NA,0,80,NA,NA,0,80,NA,NA,NA,NA
8,3,Amber,calcium,Ca2+,mg/L,mg/L,0,80,NA,16 C,16,NA,NA,NA,NA,0,80,NA,NA,0,80,NA,NA,NA,NA
9,3,Amber,calcium,Ca2+,mg/L,mg/L,0,80,NA,16 C,16,NA,NA,NA,NA,0,80,NA,NA,0,80,NA,NA,NA,NA
10,3,Amber,calcium,Ca2+,mg/L,mg/L,0,80,NA,16 C,16,NA,NA,NA,NA,0,80,NA,NA,0,80,NA,NA,NA,NA
11,4,Joshua,salinity,Salinity,ppt,ppt,0.5,32,NA,27 ± 1.2 C,27,NA,1.2 C,NA,NA,0.5,32,765.8730709069665,49015.87653804586,NA,NA,0.5,32,500,32000
12,4,Joshua,salinity,Salinity,ppt,ppt,0.5,32,NA,27 ± 1.2 C,27,NA,1.2 C,NA,NA,0.5,32,765.8730709069665,49015.87653804586,NA,NA,0.5,32,500,32000
13,4,Joshua,salinity,Salinity,ppt,ppt,0.5,32,NA,27 ± 1.2 C,27,NA,1.2 C,NA,NA,0.5,32,765.8730709069665,49015.87653804586,NA,NA,0.5,32,500,32000
14,4,Joshua,salinity,Salinity,ppt,ppt,0.5,32,NA,27 ± 1.2 C,27,NA,1.2 C,NA,NA,0.5,32,765.8730709069665,49015.87653804586,NA,NA,0.5,32,500,32000
15,4,Joshua,salinity,Salinity,ppt,ppt,0.5,32,NA,27 ± 1.2 C,27,NA,1.2 C,NA,NA,0.5,32,765.8730709069665,49015.87653804586,NA,NA,0.5,32,500,32000
16,4,Joshua,salinity,Salinity,ppt,ppt,0.5,32,NA,27 ± 1.2 C,27,NA,1.2 C,NA,NA,0.5,32,765.8730709069665,49015.87653804586,NA,NA,0.5,32,500,32000
17,5,Jo/Rich,NaHCO3,NaHCO3,mg/l,mg/L,175,6666,NA,16-17,16,17,NA,NA,NA,175,6666,NA,NA,175,6666,NA,NA,NA,NA
18,5,Jo/Rich,NaHCO3,NaHCO3,mg/l,mg/L,175,16000,NA,21-23 C,21,23,NA,NA,NA,175,16000,NA,NA,175,16000,NA,NA,NA,NA
19,5,Jo/Rich,NaHCO3,NaHCO3,mg/l,mg/L,194,16000,NA,21-23 C,21,23,NA,NA,NA,194,16000,NA,NA,194,16000,NA,NA,NA,NA
20,5,Jo/Rich,NaHCO3,NaHCO3,mg/l,mg/L,175,3000,NA,24-27 C,24,27,NA,NA,NA,175,3000,NA,NA,175,3000,NA,NA,NA,NA
21,5,Jo/Rich,NaHCO3,NaHCO3,mg/l,mg/L,175,3000,NA,24-27 C,24,27,NA,NA,NA,175,3000,NA,NA,175,3000,NA,NA,NA,NA
22,5,Jo/Rich,NaHCO3,NaHCO3,mg/l,mg/L,194,3000,NA,24-27 C,24,27,NA,NA,NA,194,3000,NA,NA,194,3000,NA,NA,NA,NA
23,5,Jo/Rich,NaHCO3,NaHCO3,mg/l,mg/L,175,4500,NA,22-24 C,22,24,NA,NA,NA,175,4500,NA,NA,175,4500,NA,NA,NA,NA
24,5,Jo/Rich,NaHCO3,NaHCO3,mg/l,mg/L,175,4500,NA,22-24 C,22,24,NA,NA,NA,175,4500,NA,NA,175,4500,NA,NA,NA,NA
25,5,Jo/Rich,NaHCO3,NaHCO3,mg/l,mg/L,175,4500,NA,22-24 C,22,24,NA,NA,NA,175,4500,NA,NA,175,4500,NA,NA,NA,NA
26,5,Jo/Rich,NaHCO3,NaHCO3,mg/l,mg/L,175,4500,NA,22-24 C,22,24,NA,NA,NA,175,4500,NA,NA,175,4500,NA,NA,NA,NA
27,5,Jo/Rich,NaHCO3,NaHCO3,mg/l,mg/L,175,2000,NA,23 C,23,NA,NA,NA,NA,175,2000,NA,NA,175,2000,NA,NA,NA,NA
28,5,Jo/Rich,NaHCO3,NaHCO3,mg/l,mg/L,323,6666,NA,16-17,16,17,NA,NA,NA,323,6666,NA,NA,323,6666,NA,NA,NA,NA
29,5,Jo/Rich,NaHCO3,NaHCO3,mg/l,mg/L,267,6666,NA,16-17,16,17,NA,NA,NA,267,6666,NA,NA,267,6666,NA,NA,NA,NA
30,5,Jo/Rich,NaHCO3,NaHCO3,mg/l,mg/L,175,8000,NA,10-11 C,10,11,NA,NA,NA,175,8000,NA,NA,175,8000,NA,NA,NA,NA
31,5,Jo/Rich,NaHCO3,NaHCO3,mg/l,mg/L,175,12000,NA,10-11 C,10,11,NA,NA,NA,175,12000,NA,NA,175,12000,NA,NA,NA,NA
32,5,Jo/Rich,NaHCO3,NaHCO3,mg/l,mg/L,175,3000,NA,23-26 C,23,26,NA,NA,NA,175,3000,NA,NA,175,3000,NA,NA,NA,NA
33,5,Jo/Rich,NaHCO3,NaHCO3,mg/l,mg/L,194,4000,NA,24-26 C,24,26,NA,NA,NA,194,4000,NA,NA,194,4000,NA,NA,NA,NA
34,5,Jo/Rich,NaHCO3,NaHCO3,mg/l,mg/L,175,5000,NA,14-15 C,14,15,NA,NA,NA,175,5000,NA,NA,175,5000,NA,NA,NA,NA
35,5,Jo/Rich,NaHCO3,NaHCO3,mg/l,mg/L,194,4000,NA,19,19,NA,NA,NA,NA,194,4000,NA,NA,194,4000,NA,NA,NA,NA
36,5,Jo/Rich,NaHCO3,NaHCO3,mg/l,mg/L,175,4000,NA,19,19,NA,NA,NA,NA,175,4000,NA,NA,175,4000,NA,NA,NA,NA
37,5,Jo/Rich,NaHCO3,NaHCO3,mg/l,mg/L,175,10000,NA,15-17,15,17,NA,NA,NA,175,10000,NA,NA,175,10000,NA,NA,NA,NA
38,5,Jo/Rich,NaHCO3,NaHCO3,mg/l,mg/L,175,2500,NA,19-22 C,19,22,NA,NA,NA,175,2500,NA,NA,175,2500,NA,NA,NA,NA
39,5,Jo/Rich,NaHCO3,NaHCO3,mg/l,mg/L,175,2000,NA,19-22 C,19,22,NA,NA,NA,175,2000,NA,NA,175,2000,NA,NA,NA,NA
40,5,Jo/Rich,NaHCO3,NaHCO3,mg/l,mg/L,175,2000,NA,19-22 C,19,22,NA,NA,NA,175,2000,NA,NA,175,2000,NA,NA,NA,NA
41,5,Jo/Rich,NaHCO3,NaHCO3,mg/l,mg/L,175,5000,NA,17-19 C,17,19,NA,NA,NA,175,5000,NA,NA,175,5000,NA,NA,NA,NA
42,5,Jo/Rich,NaHCO3,NaHCO3,mg/l,mg/L,194,5000,NA,17-19 C,17,19,NA,NA,NA,194,5000,NA,NA,194,5000,NA,NA,NA,NA
43,5,Jo/Rich,NaHCO3,NaHCO3,mg/l,mg/L,194,2000,NA,23 C,23,NA,NA,NA,NA,194,2000,NA,NA,194,2000,NA,NA,NA,NA
44,6,Jo,salinity,Salinity,g/l,g/L,0.8,6.4,NA,NA,NA,NA,NA,NA,NA,0.8,6.4,1225.3969134511465,9803.175307609172,NA,NA,0.8,6.4,800,6400
45,6,Jo,salinity,Salinity,g/l,g/L,0.8,6.4,NA,NA,NA,NA,NA,NA,NA,0.8,6.4,1225.3969134511465,9803.175307609172,NA,NA,0.8,6.4,800,6400
46,6,Jo,salinity,Salinity,g/l,g/L,0.8,6.4,NA,NA,NA,NA,NA,NA,NA,0.8,6.4,1225.3969134511465,9803.175307609172,NA,NA,0.8,6.4,800,6400
47,6,Jo,salinity,Salinity,g/l,g/L,0.8,6.4,NA,NA,NA,NA,NA,NA,NA,0.8,6.4,1225.3969134511465,9803.175307609172,NA,NA,0.8,6.4,800,6400
48,6,Jo,salinity,Salinity,g/l,g/L,0.8,6.4,NA,NA,NA,NA,NA,NA,NA,0.8,6.4,1225.3969134511465,9803.175307609172,NA,NA,0.8,6.4,800,6400
49,6,Jo,salinity,Salinity,g/l,g/L,0.8,6.4,NA,NA,NA,NA,NA,NA,NA,0.8,6.4,1225.3969134511465,9803.175307609172,NA,NA,0.8,6.4,800,6400
50,6,Jo,salinity,Salinity,g/l,g/L,0.8,6.4,NA,NA,NA,NA,NA,NA,NA,0.8,6.4,1225.3969134511465,9803.175307609172,NA,NA,0.8,6.4,800,6400
51,6,Jo,salinity,Salinity,g/l,g/L,0.8,6.4,NA,NA,NA,NA,NA,NA,NA,0.8,6.4,1225.3969134511465,9803.175307609172,NA,NA,0.8,6.4,800,6400
52,7,Amber,CaCl2,CaCl2,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,7,Amber,CaCl2,CaCl2,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,7,Amber,MgCl2,MgCl2,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,7,Amber,MgCl2,MgCl2,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
