Taxonomic_classification,Threat_Reclassified,RefID,Min_Concentration_ppm,Max_Concentration_ppm,Measurement
Mollusca,Anthropogenic: Multiple sources,2,2,120,CaCO3
Mollusca,Anthropogenic: Multiple sources,2,2,120,CaCO3
Crustacean,Aquaculture,3,0,80,Ca2+
Crustacean,Aquaculture,3,0,80,Ca2+
Crustacean,Aquaculture,3,0,80,Ca2+
Crustacean,Aquaculture,3,0,80,Ca2+
Fish,Energy Extraction,5,175,6666,NaHCO3
Insect,Energy Extraction,5,175,16000,NaHCO3
Insect,Energy Extraction,5,194,16000,NaHCO3
Zooplankton,Energy Extraction,5,175,3000,NaHCO3
Zooplankton,Energy Extraction,5,175,3000,NaHCO3
Zooplankton,Energy Extraction,5,194,3000,NaHCO3
amphibian,Energy Extraction,5,175,4500,NaHCO3
amphibian,Energy Extraction,5,175,4500,NaHCO3
amphibian,Energy Extraction,5,175,4500,NaHCO3
amphibian,Energy Extraction,5,175,4500,NaHCO3
Crustacean,Energy Extraction,5,175,2000,NaHCO3
Fish,Energy Extraction,5,323,6666,NaHCO3
Fish,Energy Extraction,5,267,6666,NaHCO3
Fish,Energy Extraction,5,175,8000,NaHCO3
Fish,Energy Extraction,5,175,12000,NaHCO3
Fish,Energy Extraction,5,175,3000,NaHCO3
Fish,Energy Extraction,5,194,4000,NaHCO3
Fish,Energy Extraction,5,175,5000,NaHCO3
Fish,Energy Extraction,5,194,4000,NaHCO3
Fish,Energy Extraction,5,175,4000,NaHCO3
Fish,Energy Extraction,5,175,10000,NaHCO3
Mollusca,Energy Extraction,5,175,2500,NaHCO3
Mollusca,Energy Extraction,5,175,2000,NaHCO3
Mollusca,Energy Extraction,5,175,2000,NaHCO3
"non-insect, non-arthropod",Energy Extraction,5,175,5000,NaHCO3
"non-insect, non-arthropod",Energy Extraction,5,194,5000,NaHCO3
Crustacean,Energy Extraction,5,194,2000,NaHCO3
Fish,Aquaculture,8,3000,9000,NaCl
Fish,Aquaculture,8,3000,9000,NaCl
Fish,Aquaculture,8,3000,9000,NaCl
Fish,Aquaculture,8,3000,9000,NaCl
Fish,Aquaculture,8,3000,9000,NaCl
Fish,Aquaculture,8,3000,9000,NaCl
Fish,Aquaculture,8,3000,9000,NaCl
Fish,Aquaculture,8,3000,9000,NaCl
Fish,Aquaculture,8,3000,9000,NaCl
Fish,Aquaculture,8,3000,9000,NaCl
Fish,Aquaculture,8,3000,9000,NaCl
Fish,Aquaculture,8,3000,9000,NaCl
Fish,Aquaculture,8,3000,9000,NaCl
Fish,Aquaculture,8,3000,9000,NaCl
Fish,Aquaculture,8,3000,9000,NaCl
Fish,Aquaculture,8,3000,9000,NaCl
Fish,Aquaculture,8,3000,9000,NaCl
Fish,Aquaculture,8,3000,9000,NaCl
Fish,Aquaculture,8,3000,9000,NaCl
Fish,Aquaculture,8,3000,9000,NaCl
Fish,Aquaculture,8,3000,9000,NaCl
Fish,Aquaculture,8,3000,9000,NaCl
Fish,Aquaculture,8,3000,9000,NaCl
Fish,Aquaculture,8,3000,9000,NaCl
Fish,Aquaculture,8,3000,9000,NaCl
Fish,Aquaculture,8,3000,9000,NaCl
Fish,Aquaculture,8,3000,9000,NaCl
Fish,Aquaculture,8,3000,9000,NaCl
Fish,Aquaculture,8,3000,9000,NaCl
Fish,Aquaculture,8,3000,9000,NaCl
Fish,Aquaculture,8,3000,9000,NaCl
Fish,Aquaculture,8,3000,9000,NaCl
Fish,Aquaculture,8,3000,9000,NaCl
Fish,Aquaculture,8,3000,9000,NaCl
Fish,Aquaculture,8,3000,9000,NaCl
Fish,Aquaculture,8,3000,9000,NaCl
Fish,Aquaculture,8,3000,9000,NaCl
Fish,Aquaculture,8,3000,9000,NaCl
Zooplankton,Anthropogenic: Multiple sources,9,0.1,10,"KCl, MgSO4, CaCl, K2HPO4, KH2PO4, NaNO3, NaSiO3, FeCl3,"
Zooplankton,Anthropogenic: Multiple sources,9,0.1,10,"KCl, MgSO4, CaCl, K2HPO4, KH2PO4, NaNO3, NaSiO3, FeCl3,"
Zooplankton,Anthropogenic: Multiple sources,9,0.1,10,"KCl, MgSO4, CaCl, K2HPO4, KH2PO4, NaNO3, NaSiO3, FeCl3,"
Zooplankton,Anthropogenic: Multiple sources,9,0.1,10,"KCl, MgSO4, CaCl, K2HPO4, KH2PO4, NaNO3, NaSiO3, FeCl3,"
Zooplankton,Anthropogenic: Multiple sources,9,0.1,10,"KCl, MgSO4, CaCl, K2HPO4, KH2PO4, NaNO3, NaSiO3, FeCl3,"
Fish,"Tolerance, Mechanistic, Osmoreg",11,6936.25,7213.7,CaCl2
Fish,"Tolerance, Mechanistic, Osmoreg",11,6936.25,7213.7,CaCl2
Fish,"Tolerance, Mechanistic, Osmoreg",11,6936.25,7213.7,CaCl2
Fish,"Tolerance, Mechanistic, Osmoreg",11,6936.25,7213.7,CaCl2
Fish,"Tolerance, Mechanistic, Osmoreg",11,6936.25,7213.7,CaCl2
Fish,"Tolerance, Mechanistic, Osmoreg",11,6936.25,7213.7,CaCl2
Fish,"Tolerance, Mechanistic, Osmoreg",11,6936.25,7213.7,CaCl2
Fish,"Tolerance, Mechanistic, Osmoreg",11,6936.25,7213.7,CaCl2
Fish,"Tolerance, Mechanistic, Osmoreg",11,6936.25,7213.7,CaCl2
Fish,"Tolerance, Mechanistic, Osmoreg",11,6936.25,7213.7,CaCl2
Fish,"Tolerance, Mechanistic, Osmoreg",11,6936.25,7213.7,CaCl2
Fish,"Tolerance, Mechanistic, Osmoreg",11,6936.25,7213.7,CaCl2
Zooplankton,Climate/Intrusion,13,500,3000,NaCl
Zooplankton,Climate/Intrusion,13,500,3000,NaCl
Zooplankton,Climate/Intrusion,13,500,3000,NaCl
Zooplankton,Climate/Intrusion,13,500,3000,NaCl
Zooplankton,Climate/Intrusion,13,500,3000,NaCl
Zooplankton,Climate/Intrusion,13,500,3000,NaCl
Zooplankton,Climate/Intrusion,13,500,3000,NaCl
Zooplankton,Climate/Intrusion,13,500,3000,NaCl
Zooplankton,Climate/Intrusion,13,500,3000,NaCl
Zooplankton,Climate/Intrusion,13,500,3000,NaCl
Zooplankton,Climate/Intrusion,13,500,3000,NaCl
Zooplankton,Climate/Intrusion,13,500,3000,NaCl
Zooplankton,Climate/Intrusion,13,500,3000,NaCl
Zooplankton,Climate/Intrusion,13,500,3000,NaCl
Zooplankton,Climate/Intrusion,13,500,3000,NaCl
Zooplankton,Climate/Intrusion,13,500,3000,NaCl
Zooplankton,Climate/Intrusion,13,750,9000,NaCl
Zooplankton,Climate/Intrusion,13,750,9000,NaCl
Zooplankton,Climate/Intrusion,13,500,3000,NaCl
Zooplankton,Climate/Intrusion,13,500,3000,NaCl
Insect,Road Salts,15,824,13188,NaCl
Insect,Road Salts,15,824,13188,NaCl
Insect,Road Salts,15,824,13188,NaCl
Insect,Road Salts,15,824,13188,NaCl
Insect,Road Salts,15,824,13188,NaCl
Insect,Road Salts,15,824,13188,NaCl
Insect,Road Salts,15,824,13188,NaCl
Insect,Road Salts,15,824,13188,NaCl
Insect,Road Salts,15,824,13188,NaCl
Insect,Road Salts,15,824,13188,NaCl
Insect,Road Salts,15,824,13188,NaCl
Insect,Road Salts,15,824,13188,NaCl
Insect,Road Salts,15,824,13188,NaCl
Insect,Road Salts,15,412,6594,NaCl
Insect,Road Salts,15,412,6594,NaCl
Insect,Road Salts,15,412,6594,NaCl
Insect,Road Salts,15,412,6594,NaCl
