DataID,RefID,Reviewer,Focal: Salt/Ion type (if known) OR Conductivity,Units for salt concentration_original,Minimum concentration_original,Maximum concentration_original,Rate of change in salt (if applicaple),Temperature (C),TempSingleValue/Min,TempMax,Measurement,MeasurementNotes,TempNotes,TempPlusMinus
1,259,Rich,sodium chloride,ppt,0.2,0.2,2 ppt every 2-3 days,18.7 - 25.3,18.7 , 25.3,NaCl,NA,NA,NA
2,258,Rich,sodium chloride,ppt,0.4,0.2,2 ppt every 2-3 days,18.5 - 27.0,18.5 , 27.0,NaCl,NA,NA,NA
3,258,Rich,sodium chloride,ppt,0.3,0.2,sudden,17.3 - 22.6,17.3 , 22.6,NaCl,NA,NA,NA
4,259,Rich,sodium chloride,ppt,0.2,0.2,sudden,20.9 - 23.0,20.9 , 23.0,NaCl,NA,NA,NA
5,37,Joshua,NaCl,%,0.1,0.8,NA,NA,NA,NA,NaCl,NA,NA,NA
6,37,Joshua,NaCl,%,0.1,0.8,NA,NA,NA,NA,NaCl,NA,NA,NA
7,92,Joshua,NaCl,%,0,1,NA,22,22,NA,NaCl,NA,NA,NA
8,92,Joshua,NaCl,%,0,1,NA,22,22,NA,NaCl,NA,NA,NA
9,92,Joshua,NaCl,%,0,1,NA,22,22,NA,NaCl,NA,NA,NA
10,92,Joshua,NaCl,%,0,1,NA,22,22,NA,NaCl,NA,NA,NA
11,92,Joshua,NaCl,%,0,1,NA,22,22,NA,NaCl,NA,NA,NA
12,92,Joshua,NaCl,%,0,1,NA,22,22,NA,NaCl,NA,NA,NA
13,92,Joshua,NaCl,%,0,1,NA,22,22,NA,NaCl,NA,NA,NA
14,92,Joshua,NaCl,%,0,1,NA,22,22,NA,NaCl,NA,NA,NA
15,116,Joshua,NA2SO4,%,0,0.17,NA,24-31,24,31,Na2SO4,NA,NA,NA
16,116,Joshua,sodium chloride,%,0,0.17,NA,24-31,24,31,NaCl,NA,NA,NA
17,116,Joshua,sodium chloride,%,0,0.17,NA,NA,NA,NA,NaCl,NA,NA,NA
18,116,Joshua,KCl,%,0,0.17,NA,24-31,24,31,KCl,NA,NA,NA
19,116,Joshua,sodium chloride,%,0,0.17,NA,24-31,24,31,NaCl,NA,NA,NA
20,116,Joshua,NA2SO4,%,0,0.17,NA,24-31,24,31,Na2SO4,NA,NA,NA
21,116,Joshua,sodium chloride,%,0,0.17,NA,NA,NA,NA,NaCl,NA,NA,NA
22,116,Joshua,sodium chloride,%,0,0.17,NA,24-31,24,31,NaCl,NA,NA,NA
23,123,Joshua,salinity,%,0,10,NA,23,23,NA,Salinity,NA,NA,NA
