RefID,Reviewer,RW_conductivity_check,Focal: Salt/Ion type (if known) OR Conductivity,Measurement,Units for salt concentration_original,SaltUnits,Minimum concentration_original,Maximum concentration_original,Rate of change in salt (if applicaple),Temperature (C),TempSingleValue/Min,TempMax,TempPlusMinus,MeasurementNotes,TempNotes,min.cond.corr.uScm,max.cond.corr.uScm
1,Rich,specific conductivity,conductivity,Conductivity,uS/cm,µS/cm,71.9,152,NA,31.1 -31.28,31.1,31.28,NA,NA,NA,71.9,152
1,Rich,specific conductivity,conductivity,Conductivity,uS/cm,µS/cm,71.9,152,NA,31.1 -31.28,31.1,31.28,NA,NA,NA,71.9,152
1,Rich,specific conductivity,conductivity,Conductivity,uS/cm,µS/cm,71.9,152,NA,31.1 -31.28,31.1,31.28,NA,NA,NA,71.9,152
1,Rich,specific conductivity,conductivity,Conductivity,uS/cm,µS/cm,71.9,152,NA,31.1 -31.28,31.1,31.28,NA,NA,NA,71.9,152
10,Rich,specific conductivity,NaHCO3,NaHCO3,uS/cm,µS/cm,856,3649,NA,21.6-27.6,21.6,27.6,NA,NA,NA,856,3649
10,Rich,specific conductivity,NaHCO3,NaHCO3,uS/cm,µS/cm,856,3649,NA,21.6-27.6,21.6,27.6,NA,NA,NA,856,3649
14,Abigail,specific conductivity,SO42,SO4 2-,uS/cm,µS/cm,673,2386,NA,23.3-24.10,23.3,24.1,NA,NA,NA,673,2386
14,Abigail,specific conductivity,SO42,SO4 2-,uS/cm,µS/cm,673,2386,NA,23.3-24.10,23.3,24.1,NA,NA,NA,673,2386
14,Abigail,specific conductivity,SO42,SO4 2-,uS/cm,µS/cm,673,2386,NA,23.3-24.10,23.3,24.1,NA,NA,NA,673,2386
14,Abigail,specific conductivity,SO42,SO4 2-,uS/cm,µS/cm,673,2386,NA,23.3-24.9,23.3,24.9,NA,NA,NA,673,2386
14,Abigail,specific conductivity,SO42,SO4 2-,uS/cm,µS/cm,673,2386,NA,23.3-24.8,23.3,24.8,NA,NA,NA,673,2386
16,Joshua,specific conductivity,conductivity,Conductivity,uS/cm,µS/cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,Joshua,specific conductivity,conductivity,Conductivity,uS/cm,µS/cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,Joshua,specific conductivity,conductivity,Conductivity,uS/cm,µS/cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,Joshua,specific conductivity,conductivity,Conductivity,uS/cm,µS/cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,Joshua,specific conductivity,conductivity,Conductivity,uS/cm,µS/cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,Joshua,specific conductivity,conductivity,Conductivity,uS/cm,µS/cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,Joshua,specific conductivity,conductivity,Conductivity,uS/cm,µS/cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,Joshua,specific conductivity,conductivity,Conductivity,uS/cm,µS/cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,Rich,specific conductivity,sodium chloride,NaCl,uS/cm,µS/cm,180,1400,NA,20,20,NA,NA,NA,NA,180,1400
17,Rich,specific conductivity,sodium chloride,NaCl,uS/cm,µS/cm,180,1400,NA,20,20,NA,NA,NA,NA,180,1400
17,Rich,specific conductivity,sodium chloride,NaCl,uS/cm,µS/cm,180,1400,NA,20,20,NA,NA,NA,NA,180,1400
17,Rich,specific conductivity,sodium chloride,NaCl,uS/cm,µS/cm,180,1400,NA,20,20,NA,NA,NA,NA,180,1400
17,Rich,specific conductivity,sodium chloride,NaCl,uS/cm,µS/cm,180,1400,NA,20,20,NA,NA,NA,NA,180,1400
17,Rich,specific conductivity,sodium chloride,NaCl,uS/cm,µS/cm,180,1400,NA,20,20,NA,NA,NA,NA,180,1400
18,Lucy,specific conductivity,Conductivity,Conductivity,us/cm,µS/cm,2023.1,6205,NA,18.3-19.4,18.3,19.4,NA,NA,NA,2023.1,6205
20,Abigail,specific conductivity,conductivity,Conductivity,mS cm ^-1,mS/cm,1,180,NA,20,20,NA,NA,NA,NA,1000,180000
20,Abigail,specific conductivity,conductivity,Conductivity,mS cm ^-1,mS/cm,1,180,NA,20,20,NA,NA,NA,NA,1000,180000
20,Abigail,specific conductivity,conductivity,Conductivity,mS cm ^-1,mS/cm,1,180,NA,20,20,NA,NA,NA,NA,1000,180000
20,Abigail,specific conductivity,conductivity,Conductivity,mS cm ^-1,mS/cm,1,180,NA,20,20,NA,NA,NA,NA,1000,180000
20,Abigail,specific conductivity,conductivity,Conductivity,mS cm ^-1,mS/cm,1,180,NA,20,20,NA,NA,NA,NA,1000,180000
20,Abigail,specific conductivity,conductivity,Conductivity,mS cm ^-1,mS/cm,1,50,NA,20,20,NA,NA,NA,NA,1000,50000
20,Abigail,specific conductivity,conductivity,Conductivity,mS cm ^-1,mS/cm,1,100,NA,20,20,NA,NA,NA,NA,1000,1.00E+05
20,Abigail,specific conductivity,conductivity,Conductivity,mS cm ^-1,mS/cm,1,180,NA,20,20,NA,NA,NA,NA,1000,180000
20,Abigail,specific conductivity,conductivity,Conductivity,mS cm ^-1,mS/cm,1,180,NA,20,20,NA,NA,NA,NA,1000,180000
20,Abigail,specific conductivity,conductivity,Conductivity,mS cm ^-1,mS/cm,1,180,NA,20,20,NA,NA,NA,NA,1000,180000
20,Abigail,specific conductivity,conductivity,Conductivity,mS cm ^-1,mS/cm,1,180,NA,20,20,NA,NA,NA,NA,1000,180000
20,Abigail,specific conductivity,conductivity,Conductivity,mS cm ^-1,mS/cm,1,180,NA,20,20,NA,NA,NA,NA,1000,180000
20,Abigail,specific conductivity,conductivity,Conductivity,mS cm ^-1,mS/cm,1,180,NA,20,20,NA,NA,NA,NA,1000,180000
20,Abigail,specific conductivity,conductivity,Conductivity,mS cm ^-1,mS/cm,1,100,NA,20,20,NA,NA,NA,NA,1000,1.00E+05
20,Abigail,specific conductivity,conductivity,Conductivity,mS cm ^-1,mS/cm,1,180,NA,20,20,NA,NA,NA,NA,1000,180000
20,Abigail,specific conductivity,conductivity,Conductivity,mS cm ^-1,mS/cm,1,50,NA,20,20,NA,NA,NA,NA,1000,50000
20,Abigail,specific conductivity,conductivity,Conductivity,mS cm ^-1,mS/cm,1,50,NA,20,20,NA,NA,NA,NA,1000,50000
20,Abigail,specific conductivity,conductivity,Conductivity,mS cm ^-1,mS/cm,1,180,NA,20,20,NA,NA,NA,NA,1000,180000
20,Abigail,specific conductivity,conductivity,Conductivity,mS cm ^-1,mS/cm,1,180,NA,20,20,NA,NA,NA,NA,1000,180000
20,Abigail,specific conductivity,conductivity,Conductivity,mS cm ^-1,mS/cm,1,100,NA,20,20,NA,NA,NA,NA,1000,1.00E+05
