Taxonomic_classification.x,study_location,Min_Min_Conductivity_uScm,Max_Min_Conductivity_uScm,Min_Max_Conductivity_uScm,Max_Max_Conductivity_uScm,n
amphibian,Field,10,1531.746141813933,124,100000,14
amphibian,Lab,0.14,1531.746141813933,16.47,9900,12
Crustacean,Field,6,645,63,30000,43
Crustacean,Lab,30.634922836278662,15470.636032320723,903,54376.98803439462,24
Fish,Field,1.2,326000,5.2,390600,43
Fish,Lab,0.291,1914.6826772674162,0.783,107222.22992697531,37
Insect,Field,0.27899999999999997,21900,1.999,682000,131
Insect,Lab,15.317461418139331,153174.6141813933,313,505476.2267985979,39
Mollusca,Field,6,2297.6192127208997,25.8,30000,23
Mollusca,Lab,30.634922836278662,29103.176694464728,190,50400,20
"non-insect, non-arthropod",Field,6,2297.6192127208997,25.8,42400,22
"non-insect, non-arthropod",Lab,30.634922836278662,5500,7000,76000,9
Zooplankton,Field,10,5300,80,31540,27
Zooplankton,Lab,30.634922836278662,2000,152,67000,20
