Taxonomic_classification,Threat_Reclassified,Measurement,Min_Min_Concentration_ppm,Max_Min_Concentration_ppm,Min_Max_Concentration_ppm,Max_Max_Concentration_ppm
amphibian,Agriculture,NaCl,140,140,5250,5600
amphibian,Anthropogenic: Multiple sources,NaCl,2000,2000,350000,350000
amphibian,Climate/Intrusion,mixture,0,200,8000,20500
amphibian,Climate/Intrusion,NaCl,500,4000,12000,23400
amphibian,Energy Extraction,NaCl,0,0,6000,10000
amphibian,Energy Extraction,NaHCO3,175,175,4500,4500
amphibian,Fungus,NaCl,0,0,5000,5000
amphibian,Road Salts,CaCl2,0,0,12000,12000
amphibian,Road Salts,calcium acetate,0,0,120,120
amphibian,Road Salts,calcium magnesium acetate,0,0,12000,12000
amphibian,Road Salts,Cl-,1,114,777,945
amphibian,Road Salts,magnesium acetate,0,0,160,160
amphibian,Road Salts,MgCl2,0,700,214.9,12000
amphibian,Road Salts,mixture,0,20,8,780
amphibian,Road Salts,NaCl,0,700,5.6,13000
amphibian,Road Salts,potassium acetate,0,0,12000,12000
amphibian,Road Salts,sodium ferrocynide,0,0,169.6,169.6
amphibian,Road Salts,sodium formate,0,0,152,152
amphibian,Urban/Indust,SO4 2-,10,10,725,725
Crustacean,1,Na+,0.9196,2.299,45.98,45.98
Crustacean,Anthropogenic: Multiple sources,Cl-,0,0,8,16
Crustacean,Anthropogenic: Multiple sources,NaCl,2,2,140,140
Crustacean,Aquaculture,Ca2+,0,0,80,80
Crustacean,Aquaculture,CaCl2,35,35,100,100
Crustacean,Aquaculture,CaSO4,35,35,100,100
Crustacean,Aquaculture,NaCl,0,35,100,6000
Crustacean,Energy Extraction,CaSO4,0,0,32000,32000
Crustacean,Energy Extraction,MgSO4,0,0,32000,32000
Crustacean,Energy Extraction,NaHCO3,0,194,2000,60000
Crustacean,Energy Extraction,NaSO4,0,0,32000,32000
Crustacean,Energy Extraction,Synthetic marine salts,0,0,60000,60000
Crustacean,Invasive Spp,Cl-,17.725,17.725,354.5,354.5
Crustacean,Road Salts,CaCl2,250,250,3559,3559
Crustacean,Road Salts,Cl-,10,27,777,6000
Crustacean,Road Salts,ClearLane (NaCl dominant),25,25,200,200
Crustacean,Road Salts,Magic salt (MgCl dominant),25,25,200,200
Crustacean,Road Salts,MgCl2,25,250,200,2188
Crustacean,Road Salts,NaCl,0,250,200,10000
Crustacean,Road Salts,NaCl + Geomelt,25,25,200,200
Crustacean,Road Salts,road salt,0,0,10000,10000
Crustacean,"Tolerance, Mechanistic, Osmoreg",Ca2+,40.08,40.08,200.39999999999998,200.39999999999998
Crustacean,"Tolerance, Mechanistic, Osmoreg",CaCO3,9,53,31,326
Crustacean,"Tolerance, Mechanistic, Osmoreg",Cl-,1.7725000000000002,1.7725000000000002,8.8625,8.8625
Crustacean,"Tolerance, Mechanistic, Osmoreg",K+,0,39.09,156.36,1954.5000000000002
Crustacean,"Tolerance, Mechanistic, Osmoreg",Mg3+,0,24.31,72.92999999999999,486.2
Crustacean,"Tolerance, Mechanistic, Osmoreg",Na+,1.1495,45.98,5.7475,229.89999999999998
Crustacean,"Tolerance, Mechanistic, Osmoreg",NaCl,0,100,1000,30000
Crustacean,"Tolerance, Mechanistic, Osmoreg",NH4+,3.608,3.608,18.04,18.04
Crustacean,Urban/Indust,SO4 2-,10,10,725,725
Fish,1,Ca2+,0.72,22,11.3,92
Fish,1,NaCl,1000,1000,8000,8000
Fish,Agriculture,CaCO3,6,6,309,309
Fish,Agriculture,Cartap hydrochloride,0,0.01,0.03851,0.1
Fish,Agriculture,Cl-,34,34,3140,3140
Fish,Agriculture,NaCl,0,0,3000,3000
Fish,Anthropogenic: Multiple sources,Cl-,0,0,8,16
Fish,Anthropogenic: Multiple sources,NaCl,0,0,10000,10000
Fish,Anthropogenic: Multiple sources,NaF,0,0,5.4,5.4
Fish,Anthropogenic: Multiple sources,NO3-,5.31,5.31,97.51,97.51
Fish,Aquaculture,CaCO3,20,20,60,60
Fish,Aquaculture,common salt (NaCl?),0,0,10000,10000
Fish,Aquaculture,KCl,0,0,1700.0000000000002,1700.0000000000002
Fish,Aquaculture,Marine water,0,0,12000,16000
Fish,Aquaculture,Na2SO4,0,0,1700.0000000000002,1700.0000000000002
Fish,Aquaculture,NaCl,0,3000,1700.0000000000002,9000
Fish,Aquaculture,"NaCl, KCl, CaCl2, MgCl2",10,10,200000,200000
